名字,组成
固脬丸,"['制菟丝子', '茴香', '附子', '桑螵蛸', '戎盐']"
固肠汤,"['酸石榴', '黄连', '地榆', '醋炙罂粟壳', '茯苓']"
诃子皮散,"['御米壳', '炮干姜', '诃子']"
脾肾双补丸,"['人参', '莲肉', '菟丝子', '味子', '山茱萸肉', '真怀山药', '车前子', '肉豆蔻', '橘红', '巴戟天', '补骨脂']"
真人养脏汤,"['人参', '当归', '白术', '肉豆蔻', '白芍', '诃子', '肉桂', '炙甘草', '木香', '罂粟壳']"
桃花汤,"['赤石脂', '干姜', '粳米']"
赤石脂禹余粮汤,"['碎赤石脂', '碎禹余粮']"
黄芪建中汤,"['黄芪', '桂枝', '芍药', '甘草', '生姜', '大枣', '饴糖']"
桂枝甘草龙骨牡蛎汤,"['桂枝', '炙甘草', '龙骨', '牡蛎']"
交泰丸,"['川黄连', '肉挂']"
生铁落饮,"['天门冬', '麦门冬', '贝母', '胆南星', '橘红', '远志肉', '石菖蒲', '连翘', '茯苓', '茯神', '元参', '钩藤', '丹参', '辰砂', '生铁落']"
百合地黄汤,"['百合', '生地黄汁']"
甘草小麦大枣汤,"['甘草', '小麦', '大枣']"
孔圣枕中丹,"['龟板', '龙骨', '远志', '菖蒲']"
安神定志丸,"['茯苓', '茯神', '人参', '远志', '石菖蒲', '龙齿']"
珍珠母丸,"['珍珠母', '当归', '熟地黄', '芦人参', '酸枣', '柏子仁', '犀角', '茯神', '沉香', '龙齿']"
养心汤,"['当归身', '生地黄', '熟地黄', '茯神', '人参', '麦门冬', '味子粒', '柏子仁', '酸枣仁', '炙甘草']"
酸枣仁汤,"['酸枣仁', '甘草', '知母', '茯苓', '川芎']"
黄连阿胶汤,"['黄连', '黄芩', '芍药', '鸡子黄', '阿胶']"
五虎追风散,"['蝉蜕', '天南星', '明天麻', '带尾全虫', '僵蚕条']"
撮风散,"['炙蜈蚣条', '钩藤', '朱砂', '僵蚕', '蝎尾', '麝香']"
止痉散,"['全蝎', '蜈蚣']"
牵正散,"['白附子', '白僵蚕', '全蝎']"
玉真散,"['天南星', '防风', '白芷', '天麻', '羌活', '白附子']"
建瓴汤,"['生怀山药', '怀牛膝', '生赭石', '生龙骨', '生牡蛎', '生怀地黄', '生杭芍', '柏子仁']"
阿胶鸡子黄汤,"['陈阿胶', '生白芍', '杵石决明', '双钩藤', '大生地黄', '清炙草', '杵生牡蛎', '络石藤', '茯神木', '鸡子黄']"
大建中汤,"['花椒', '干姜', '人参', '饴糖']"
三甲复脉汤,"['炙甘草', '干地黄', '生白芍', '不麦门冬', '阿胶', '麻仁', '生牡蛎', '生鳖甲', '生龟甲']"
